[2024-12-13 17:44:23.819811] NIDS service started. Monitoring network traffic.
[2024-12-13 17:44:23.859679] Using interface: br-03aa29e773cc
[2024-12-13 18:04:57.664594] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:04:57.683385] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:04:57.698519] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:04:57.715466] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:04:58.745654] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:04:58.752046] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:04:58.756170] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:04:58.771029] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:04:58.774924] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:04:58.781542] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:04:58.822869] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:04:58.840500] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:04:58.853659] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:04:58.865558] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:04:59.889519] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:04:59.900022] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:04:59.911922] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:04:59.919770] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:04:59.924056] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:04:59.928733] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:04:59.964476] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:04:59.975991] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:04:59.988251] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:04:59.998761] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:01.021337] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:01.028738] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:01.035868] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:01.051158] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:01.059724] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:01.067821] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:01.096905] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:01.107002] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:01.122757] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:01.144172] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:02.166424] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:02.173533] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:02.179180] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:02.187362] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:02.204124] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:02.212148] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:02.241461] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:02.255665] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:02.271826] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:02.283894] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:03.305622] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:03.311382] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:03.317057] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:03.331962] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:03.345371] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:03.349428] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:03.388982] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:03.397403] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:03.403035] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:03.413873] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:04.428326] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:04.440291] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:04.442961] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:04.460421] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:04.465212] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:04.468889] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:04.512837] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:04.520275] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:04.538180] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:04.550561] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:05.583195] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:05.588344] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:05.596961] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:05.610260] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:05.615303] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:05.628863] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:05.669418] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:05.690160] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:05.697378] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:05.704241] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:06.727694] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:06.738160] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:06.748043] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:06.760044] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:06.769148] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:06.776914] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:06.798881] [ALERT] Possible SSH brute-force from 172.22.0.1
[2024-12-13 18:05:06.812129] [ALERT] Possible SSH brute-force from 172.22.0.1
